Word,IPA,Translation,Meaning,Meaning_Translation,Example,Example_Translation,Image,Sound,Sound_Meaning,Sound_Example
recipe,ˈresəpi,食譜,A recipe is a set of instructions for cooking a certain type of food.,「食譜」是烹調某種食物的指示。,Do you use a recipe when you make that sauce?,你做那種醬汁會用食譜嗎？,18_0357.jpg,18_0357.mp3,18_0357_meaning.mp3,18_0357_example.mp3
restaurant,ˈrestrɑːnt,餐廳,A restaurant is a business where people sit and eat food.,「餐廳」是人們坐著吃飯的營業場所。,Let’s eat at the Indian restaurant.,我們去印度餐廳吃飯吧。,18_0358.jpg,18_0358.mp3,18_0358_meaning.mp3,18_0358_example.mp3
special,ˈspeʃl,特別的,"If something is special, it is unique and different.",「特別的」事物是獨特且不同的。,The cupcake was special because it had blue frosting.,這紙杯蛋糕很特別，因為上面有藍色糖霜。,18_0359.jpg,18_0359.mp3,18_0359_meaning.mp3,18_0359_example.mp3
water,ˈwɔːtər,水,Water is a clear liquid that people need to survive.,「水」是人賴以生存的透明液體。,Drink eight cups of water every day.,每天喝八杯水。,18_0360.jpg,18_0360.mp3,18_0360_meaning.mp3,18_0360_example.mp3
alive,əˈlaɪv,活著的,Someone or something that is alive is not dead.,「活著的」人或物是沒有死亡的。,My grandparents are still alive even though they are over 90.,我祖父母雖然超過九十歲，但還健在。,19_0361.jpg,19_0361.mp3,19_0361_meaning.mp3,19_0361_example.mp3
bone,bəʊn,骨頭,A bone is a hard part of the body.,「骨頭」是身體的硬質部分。,I brought home a nice bone for my dog.,我帶了一根好骨頭回家給狗。,19_0362.jpg,19_0362.mp3,19_0362_meaning.mp3,19_0362_example.mp3
bother,ˈbɑːðər,費心,To bother is to make the effort to do something.,「費心」是指努力去做某事。,No one bothered to wash the dishes today.,今天沒人願意洗碗。,19_0363.jpg,19_0363.mp3,19_0363_meaning.mp3,19_0363_example.mp3
captain,ˈkæptɪn,船長,A captain is the person who controls a ship or airplane.,「船長／機長」是控制船隻或飛機的人。,The captain sailed his ship to Australia.,船長把船開到澳洲。,19_0364.jpg,19_0364.mp3,19_0364_meaning.mp3,19_0364_example.mp3
conclusion,kənˈkluːʒn,結論,The conclusion of something is the final part of it.,「結論」是某事的最後部分。,"At the conclusion of the race, the spectators cheered for the winner.",比賽結束時，觀眾為冠軍歡呼。,19_0365.jpg,19_0365.mp3,19_0365_meaning.mp3,19_0365_example.mp3
doubt,daʊt,懷疑,Doubt is a feeling of not being sure.,「懷疑」是不確定的感覺。,I have doubt that the story is true.,我懷疑這故事是真的。,19_0366.jpg,19_0366.mp3,19_0366_meaning.mp3,19_0366_example.mp3
explore,ɪkˈsplɔːr,探索,To explore is to look for new places.,「探索」是指尋找新地方。,He wants to explore the world and see new things.,他想探索世界，看看新事物。,19_0367.jpg,19_0367.mp3,19_0367_meaning.mp3,19_0367_example.mp3
glad,ɡlæd,高興的,"If you are glad, you are happy.",「高興的」是指快樂的。,I am glad you came to my party.,我很開心你來參加我的派對。,19_0368.jpg,19_0368.mp3,19_0368_meaning.mp3,19_0368_example.mp3
however,haʊˈevər,然而,However means despite or not being influenced by something.,「然而」是指儘管或不受某事影響。,"She is a great cook. However, she never had professional lessons.",她是個很棒的廚師，但她從未上過專業課程。,19_0369.jpg,19_0369.mp3,19_0369_meaning.mp3,19_0369_example.mp3
injustice,ɪnˈdʒʌstɪs,不公正,Injustice is a lack of fairness or justice.,「不公」是缺乏公平或正義。,Putting an innocent person in jail is an act of injustice.,把無辜的人關進監獄是不公義的行為。,19_0370.jpg,19_0370.mp3,19_0370_meaning.mp3,19_0370_example.mp3
international,ˌɪntərˈnæʃnəl,國際的,"If something is international, it involves more than one country.",「國際的」事物涉及多個國家。,The United Nations is a powerful international organization.,聯合國是一個強大的國際組織。,19_0371.jpg,19_0371.mp3,19_0371_meaning.mp3,19_0371_example.mp3
lawyer,ˈlɔɪər,律師,A lawyer works with the law and represents people in court.,「律師」是處理法律並在法庭代表他人的人。,The lawyer left the courthouse after the judge made her decision.,律師在法官做出裁決後離開法院。,19_0372.jpg,19_0372.mp3,19_0372_meaning.mp3,19_0372_example.mp3
mention,ˈmenʃn,提到,To mention something is to talk about it.,「提到」是指談論某事。,The doctors mentioned the problems that the patient was having.,醫生提到病人遇到的問題。,19_0373.jpg,19_0373.mp3,19_0373_meaning.mp3,19_0373_example.mp3
old,əʊld,年老的,Someone who is old has lived for many years.,「年老的」人是活了很多年的人。,My mother is seventy years old now.,我媽現在七十歲。,19_0374.jpg,19_0374.mp3,19_0374_meaning.mp3,19_0374_example.mp3
policy,ˈpɑːləsi,政策,A policy is a rule.,「政策」是規則。,He told us that his policy was to put customers first.,他告訴我們他的政策是顧客至上。,19_0375.jpg,19_0375.mp3,19_0375_meaning.mp3,19_0375_example.mp3
social,ˈsəʊʃl,社會的,"If something is social, it is about many people in a community.",「社交的」事物是關於社群中許多人的。,People should come together and fix the world’s social problems.,人們應該團結解決全球社會問題。,19_0376.jpg,19_0376.mp3,19_0376_meaning.mp3,19_0376_example.mp3
speech,spiːtʃ,演講,A speech is something said to a group of people.,「演講」是對一群人說的話。,She gave a speech to the class.,她對全班發表演講。,19_0377.jpg,19_0377.mp3,19_0377_meaning.mp3,19_0377_example.mp3
staff,stæf,員工,A staff is a group of people working together in a company.,「員工」是在公司一起工作的一群人。,My dad has a staff of four people to help him at the office.,我爸辦公室有四名員工協助他。,19_0378.jpg,19_0378.mp3,19_0378_meaning.mp3,19_0378_example.mp3
toward,təwɔ́ːrd,朝向,"If you go toward something, you go closer to it.",「朝向」是指靠近某物。,Santa walked toward my house with a bag of gifts.,聖誕老人帶著一袋禮物走向我家。,19_0379.jpg,19_0379.mp3,19_0379_meaning.mp3,19_0379_example.mp3
wood,wʊd,木頭,Wood is the thing that trees are made of.,「木材」是樹木構成的物質。,I put the pieces of wood in a pile.,我把木頭堆成一堆。,19_0380.jpg,19_0380.mp3,19_0380_meaning.mp3,19_0380_example.mp3
achieve,əˈtʃiːv,達成,To achieve something is to successfully do it after trying hard.,「達成」是指努力後成功完成某事。,I was happy that I could achieve my goal.,我很開心達成了目標。,20_0381.jpg,20_0381.mp3,20_0381_meaning.mp3,20_0381_example.mp3
advise,ədˈvaɪz,建議,To advise someone is to tell them what to do.,「建議」是指告訴別人該做什麼。,My mother often advises people about their money.,我媽常給別人理財建議。,20_0382.jpg,20_0382.mp3,20_0382_meaning.mp3,20_0382_example.mp3
already,ɔːlˈredi,已經,"If something happens already, it happens before a certain time.",「已經」是指在某個時間點之前發生。,It is already time for the movie to start. Let’s go in.,電影已經開始了，我們進去吧。,20_0383.jpg,20_0383.mp3,20_0383_meaning.mp3,20_0383_example.mp3
basic,ˈbeɪsɪk,基本的,"If something is basic, it is very simple or easy.",「基本的」事物是非常簡單或容易的。,I learned some basic English skills in school today.,我今天在學校學了一些基礎英文。,20_0384.jpg,20_0384.mp3,20_0384_meaning.mp3,20_0384_example.mp3
bit,bɪt,一點,A bit is a small amount of something.,「一點點」是少量的某物。,I ate a bit of chocolate before I went to bed.,睡前我吃了一點巧克力。,20_0385.jpg,20_0385.mp3,20_0385_meaning.mp3,20_0385_example.mp3
consider,kənˈsɪdər,考慮,To consider something means to think about it.,「考慮」是指思考某事。,Pete didn’t like his job. He considered getting a new one.,皮特不喜歡他的工作，考慮換一份。,20_0386.jpg,20_0386.mp3,20_0386_meaning.mp3,20_0386_example.mp3
destroy,dɪˈstrɔɪ,摧毀,To destroy means to damage something so badly that it cannot be used.,「摧毀」是指嚴重損壞某物使其無法使用。,The glass was destroyed.,玻璃被毀了。,20_0387.jpg,20_0387.mp3,20_0387_meaning.mp3,20_0387_example.mp3
entertain,ˌentərˈteɪn,娛樂,To entertain someone is to do something that they enjoy.,「娛樂」是指做些事讓別人享受。,The clown entertained the kids at the party.,小丑在派對上逗孩子們開心。,20_0388.jpg,20_0388.mp3,20_0388_meaning.mp3,20_0388_example.mp3
extra,ˈekstrə,額外的,"If something is extra, it is more than what is needed.",「額外的」事物是超過所需的部分。,The squirrel had extra nuts for the winter.,松鼠為冬天準備了額外的堅果。,20_0389.jpg,20_0389.mp3,20_0389_meaning.mp3,20_0389_example.mp3
goal,ɡəʊl,目標,A goal is something you work toward.,「目標」是你努力追求的東西。,Her goal was to become a doctor.,她的目標是成為醫生。,20_0390.jpg,20_0390.mp3,20_0390_meaning.mp3,20_0390_example.mp3
lie,lai,說謊,To lie is to say or write something untrue to deceive someone.,「說謊」是指說或寫不實的話來欺騙人。,"Whenever Pinocchio lied to his father, his nose grew.",每次皮諾丘對爸爸說謊，鼻子就會變長。,20_0391.jpg,20_0391.mp3,20_0391_meaning.mp3,20_0391_example.mp3
meat,miːt,肉,Meat is food made of animals.,「肉」是動物製成的食物。,This piece of meat I’m eating tastes very good.,我吃的這塊肉很好吃。,20_0392.jpg,20_0392.mp3,20_0392_meaning.mp3,20_0392_example.mp3
opinion,əˈpɪnjən,意見,An opinion is a thought about a person or a thing.,「意見」是對人或事物的看法。,Meg told me her opinion of my story. She said it was not funny.,梅格告訴我她對我故事的看法，說不好笑。,20_0393.jpg,20_0393.mp3,20_0393_meaning.mp3,20_0393_example.mp3
real,rɪəl,真實的,"If something is real, it actually exists.",「真實的」事物是確實存在的。,"Some people don’t believe in aliens from space, but I think they’re real.",有些人不相信外星人，但我認為他們是真的。,20_0394.jpg,20_0394.mp3,20_0394_meaning.mp3,20_0394_example.mp3
reflect,rɪˈflekt,反射,"To reflect is when a surface sends back light, heat, sound or an image.",「反射」是指表面將光、熱、聲音或影像反彈回去。,Her face was reflected in the smooth glass.,她的臉映在光滑的玻璃上。,20_0395.jpg,20_0395.mp3,20_0395_meaning.mp3,20_0395_example.mp3
regard,rɪˈɡɑːrd,看待,To regard people is to think of them in a certain way.,「看待」是指以某種方式思考他人。,The boy regarded the girl as a good friend.,男孩把這女孩當好朋友。,20_0396.jpg,20_0396.mp3,20_0396_meaning.mp3,20_0396_example.mp3
serve,sɜːrv,服務,To serve someone is to give them food or drinks.,「服務」是指提供食物或飲料給他人。,He served us our drinks quickly.,他很快為我們送上飲料。,20_0397.jpg,20_0397.mp3,20_0397_meaning.mp3,20_0397_example.mp3
vegetable,ˈvedʒtəbl,蔬菜,A vegetable is a plant used as food.,「蔬菜」是用作食物的植物。,Carrots are my favorite vegetable.,胡蘿蔔是我最喜歡的蔬菜。,20_0398.jpg,20_0398.mp3,20_0398_meaning.mp3,20_0398_example.mp3
war,wɔːr,戰爭,A war is a big fight between two groups of people.,「戰爭」是兩群人之間的大規模戰鬥。,Many young men died in the war.,許多青年在戰爭中喪生。,20_0399.jpg,20_0399.mp3,20_0399_meaning.mp3,20_0399_example.mp3
worth,wɜːrθ,值得的,"If something is worth an amount of money, it costs that amount.",「值」是指某物的價格等於該金額。,Our house is worth a lot of money.,我們的房子很值錢。,20_0400.jpg,20_0400.mp3,20_0400_meaning.mp3,20_0400_example.mp3
appear,əˈpɪr,出現,To appear is to seem.,「出現」是指顯得如此。,She appeared to be sad. She was crying.,她看起來很難過，正在哭。,21_0401.jpg,21_0401.mp3,21_0401_meaning.mp3,21_0401_example.mp3
base,beɪs,底部,The base is the bottom of something.,「底部」是某物的最下端。,The base of the table has three legs.,桌子底部有三隻腳。,21_0402.jpg,21_0402.mp3,21_0402_meaning.mp3,21_0402_example.mp3
brain,breɪn,大腦,The brain is the organ in your head that lets you think.,「大腦」是頭部中讓你思考的器官。,You must use your brain to solve the problem.,你必須動腦解決問題。,21_0403.jpg,21_0403.mp3,21_0403_meaning.mp3,21_0403_example.mp3
career,kəˈrɪr,職業,A career is a job that you do for a large part of your life.,「職業」是你一生中大部分時間從事的工作。,He was in the hospitality business for most of his career.,他職業生涯大部分時間都在餐旅業。,21_0404.jpg,21_0404.mp3,21_0404_meaning.mp3,21_0404_example.mp3
clerk,klɜːrk,店員,A clerk is a type of worker. Clerks in a store help customers.,「店員」是商店中協助顧客的工作人員。,The clerk added up her bill for the groceries.,店員幫她計算雜貨帳單。,21_0405.jpg,21_0405.mp3,21_0405_meaning.mp3,21_0405_example.mp3
effort,ˈefərt,努力,Effort is hard work or an attempt to do something.,「努力」是辛勤工作或嘗試做某事。,He always puts a lot of effort into his studies.,他讀書總是全力以赴。,21_0406.jpg,21_0406.mp3,21_0406_meaning.mp3,21_0406_example.mp3
enter,ˈentər,進入,To enter a place is to go into it.,「進入」是指走進某地。,Two guards greeted me as I entered the front door.,我進前門時，兩名警衛向我打招呼。,21_0407.jpg,21_0407.mp3,21_0407_meaning.mp3,21_0407_example.mp3
excellent,ˈeksələnt,優秀的,"When something is excellent, it is very good.",「優秀的」事物是非常好的。,I got an excellent score on my school test.,我學校考試考得很好。,21_0408.jpg,21_0408.mp3,21_0408_meaning.mp3,21_0408_example.mp3
hero,ˈhɪrəʊ,英雄,A hero is a brave person who does things to help others.,「英雄」是勇敢幫助他人的人。,"To children, the man in the blue and red costume was a real hero.",對孩子來說，穿藍紅制服的男人是真正的英雄。,21_0409.jpg,21_0409.mp3,21_0409_meaning.mp3,21_0409_example.mp3
hurry,ˈhɜːri,匆忙,To hurry is to do something quickly.,「匆忙」是指快速做某事。,I hurried home on my bike.,我騎腳踏車趕回家。,21_0410.jpg,21_0410.mp3,21_0410_meaning.mp3,21_0410_example.mp3
inform,ɪnˈfɔːrm,通知,To inform someone is to tell them about something.,「通知」是指告訴某人某事。,I called and informed her about my idea.,我打電話告訴她我的想法。,21_0411.jpg,21_0411.mp3,21_0411_meaning.mp3,21_0411_example.mp3
later,ˈleɪtər,稍後,"Later means after the present, expected, or usual time.",「稍後」是指在現在、預期或平常時間之後。,"She missed the train, so she’ll arrive a little later than expected.",她錯過火車，會比預期晚一點到。,21_0412.jpg,21_0412.mp3,21_0412_meaning.mp3,21_0412_example.mp3
leave,liːv,離開,To leave means to go away from someone or something.,「離開」是指遠離某人或某物。,He packed his bag and was ready to leave for home.,他收拾好行李，準備回家。,21_0413.jpg,21_0413.mp3,21_0413_meaning.mp3,21_0413_example.mp3
locate,ˈləʊkeɪt,定位,To locate something is to find it.,「定位」是指找到某物。,I could not locate my keys in the house.,我在家裡找不到鑰匙。,21_0414.jpg,21_0414.mp3,21_0414_meaning.mp3,21_0414_example.mp3
nurse,nɜːrs,護士,A nurse is a person who helps sick people in the hospital.,「護士」是在醫院協助病人的專業人員。,A nurse helped me get better.,護士幫我康復。,21_0415.jpg,21_0415.mp3,21_0415_meaning.mp3,21_0415_example.mp3
operation,ˌɑːpəˈreɪʃn,手術,An operation is when a doctor replaces or removes something in the body.,「手術」是醫生在體內更換或移除某物的過程。,The operation on my arm was a success.,我手臂的手術很成功。,21_0416.jpg,21_0416.mp3,21_0416_meaning.mp3,21_0416_example.mp3
pain,peɪn,疼痛,Pain is the feeling that you have when you are hurt.,「疼痛」是受傷時的感受。,His head was full of pain.,他頭痛欲裂。,21_0417.jpg,21_0417.mp3,21_0417_meaning.mp3,21_0417_example.mp3
refuse,rifjːz,拒絕,To refuse something is to say “no” to it.,「拒絕」是指對某事說「不」。,The dog refused to play with the cat.,狗拒絕和貓玩。,21_0418.jpg,21_0418.mp3,21_0418_meaning.mp3,21_0418_example.mp3
though,ðəʊ,雖然,Though is used when one idea makes another seem surprising.,「雖然」是用於一個想法使另一個顯得意外時。,"Though he was overweight, he liked to be active.",雖然他過重，但他喜歡活動。,21_0419.jpg,21_0419.mp3,21_0419_meaning.mp3,21_0419_example.mp3
various,ˈveriəs,各種各樣的,"If something is various, there are many types of it.",「各種的」事物有許多類型。,She owned shoes of various styles.,她有各種款式的鞋子。,21_0420.jpg,21_0420.mp3,21_0420_meaning.mp3,21_0420_example.mp3
actual,ˈæktʃuəl,實際的,Actual means real or true.,「實際的」是指真實的。,"This is the actual sword that the king owned, not a fake one.",這是國王擁有的真劍，不是假的。,22_0421.jpg,22_0421.mp3,22_0421_meaning.mp3,22_0421_example.mp3
amaze,əˈmeɪz,使驚奇,To amaze people is to surprise them very much.,「驚訝」是指讓人非常驚奇。,The news in the paper amazed Jack.,報紙上的新聞讓傑克驚訝。,22_0422.jpg,22_0422.mp3,22_0422_meaning.mp3,22_0422_example.mp3
charge,tʃɑːrdʒ,費用,A charge is the price to pay for something.,「費用」是為某物支付的價格。,The charge for the shirts was $15.,這些襯衫收費15美元。,22_0423.jpg,22_0423.mp3,22_0423_meaning.mp3,22_0423_example.mp3
comfort,ˈkʌmfərt,安慰,To comfort someone means to make them feel better.,「安慰」是指讓某人感覺更好。,I wanted to comfort my friend after I heard the bad news.,聽到壞消息後，我想安慰朋友。,22_0424.jpg,22_0424.mp3,22_0424_meaning.mp3,22_0424_example.mp3
contact,ˈkɑːntækt,聯絡,To contact people is to speak or write to them.,「聯絡」是指與人說話或寫信。,I contacted Sue about my party.,我聯絡蘇談我的派對。,22_0425.jpg,22_0425.mp3,22_0425_meaning.mp3,22_0425_example.mp3
customer,ˈkʌstəmər,顧客,A customer is a person who buys something at a store.,「顧客」是在商店購買東西的人。,The customer put a few items in a bag.,顧客把幾樣東西放進袋子。,22_0426.jpg,22_0426.mp3,22_0426_meaning.mp3,22_0426_example.mp3
deliver,dɪˈlɪvər,遞送,To deliver something is to take it from one place to another.,「遞送」是指將某物從一地送到另一地。,The man delivered Chinese food to my house.,那人送中餐到我家。,22_0427.jpg,22_0427.mp3,22_0427_meaning.mp3,22_0427_example.mp3
earn,ɜːrn,賺取,To earn means to get money for the work you do.,「賺取」是指透過工作獲得金錢。,He earns his living as a chef in a great restaurant.,他在一家高級餐廳當主廚維生。,22_0428.jpg,22_0428.mp3,22_0428_meaning.mp3,22_0428_example.mp3
gate,ɡeɪt,大門,A gate is a type of door. Gates are usually made of metal or wood.,「大門」是一種門，通常由金屬或木材製成。,We want to put up a wooden gate around our house.,我們想在家周圍裝木柵門。,22_0429.jpg,22_0429.mp3,22_0429_meaning.mp3,22_0429_example.mp3
include,ɪnˈkluːd,包括,To include something means to have it as part of a group.,「包含」是指將某物作為群體的一部分。,Does this meal include a soft drink?,這餐包含軟性飲料嗎？,22_0430.jpg,22_0430.mp3,22_0430_meaning.mp3,22_0430_example.mp3
manage,ˈmænɪdʒ,管理,To manage something means to control or be in charge of it.,「管理」是指控制或負責某事。,I had to manage the meeting myself.,我得自己主持會議。,22_0431.jpg,22_0431.mp3,22_0431_meaning.mp3,22_0431_example.mp3
mystery,ˈmɪstəri,謎,A mystery is something that is difficult to understand or explain.,「謎」是難以理解或解釋的事物。,The path on the map was a complete mystery to me.,地圖上的路徑對我來說完全神秘。,22_0432.jpg,22_0432.mp3,22_0432_meaning.mp3,22_0432_example.mp3
occur,əˈkɜːr,發生,To occur means to happen.,「發生」是指事情出現。,When did the thunderstorm occur?,雷雨是什麼時候發生的？,22_0433.jpg,22_0433.mp3,22_0433_meaning.mp3,22_0433_example.mp3
opposite,ˈɑːpəzɪt,相反的,"If A is the opposite of B, A is completely different from B.",「相反的」是指 A 與 B 完全不同。,The opposite of black is white.,黑色的相反是白色。,22_0434.jpg,22_0434.mp3,22_0434_meaning.mp3,22_0434_example.mp3
plate,pleɪt,盤子,A plate is a flat round thing that you put food on.,「盤子」是放食物的扁平圓形器皿。,I put my plate down so I could put some food on it.,我把盤子放下，好放食物上去。,22_0435.jpg,22_0435.mp3,22_0435_meaning.mp3,22_0435_example.mp3
receive,rɪˈsiːv,收到,To receive something is to get it.,「收到」是指獲得某物。,I received a present on my birthday.,我生日收到禮物。,22_0436.jpg,22_0436.mp3,22_0436_meaning.mp3,22_0436_example.mp3
reward,rɪˈwɔːrd,獎勵,A reward is something given in exchange for good behavior or work.,「獎勵」是因良好行為或工作而給予的東西。,He was given a reward for his excellent performance.,他因表現出色獲得獎勵。,22_0437.jpg,22_0437.mp3,22_0437_meaning.mp3,22_0437_example.mp3
set,set,設定,To set something is to put it somewhere.,「放置」是指把某物放到某處。,Please set the dice down on the table.,請把骰子放在桌上。,22_0438.jpg,22_0438.mp3,22_0438_meaning.mp3,22_0438_example.mp3
steal,stiːl,偷竊,To steal is to take something that is not yours.,「偷竊」是指拿走不屬於自己的東西。,The men tried to steal money from the bank.,這些人試圖從銀行偷錢。,22_0439.jpg,22_0439.mp3,22_0439_meaning.mp3,22_0439_example.mp3
thief,θiːf,小偷,A thief is someone who quietly takes things that do not belong to them.,「小偷」是悄悄拿走不屬於自己東西的人。,A thief broke into our home and took my mother’s jewelry.,小偷闖入我家，偷走媽媽的珠寶。,22_0440.jpg,22_0440.mp3,22_0440_meaning.mp3,22_0440_example.mp3
advance,ədˈvæns,前進,To advance is to go forward.,「前進」是指向前移動。,He advanced across the bridge slowly.,他緩慢地前進過橋。,23_0441.jpg,23_0441.mp3,23_0441_meaning.mp3,23_0441_example.mp3
athlete,ˈæθliːt,運動員,An athlete is a person who plays sports.,「運動員」是從事運動的人。,Some athletes can play many sports very well.,有些運動員擅長多種運動。,23_0442.jpg,23_0442.mp3,23_0442_meaning.mp3,23_0442_example.mp3
average,ˈævərɪdʒ,平均的,"If something is average, it is at a normal level.",「普通的」事物是處於正常水平。,I’m not rich or poor; I’m average.,我不窮也不富，算是普通。,23_0443.jpg,23_0443.mp3,23_0443_meaning.mp3,23_0443_example.mp3
behavior,bihivjər,行為,Your behavior is the way you act.,「行為」是你行動的方式。,Their behavior was good this semester. They didn’t cause trouble.,他們這學期行為良好，沒惹麻煩。,23_0444.jpg,23_0444.mp3,23_0444_meaning.mp3,23_0444_example.mp3
behind,bɪˈhaɪnd,在後面,Behind means to be at the back of something.,「在……後面」是指位於某物的後方。,The little girl was hiding behind a tree.,小女孩躲在樹後。,23_0445.jpg,23_0445.mp3,23_0445_meaning.mp3,23_0445_example.mp3
course,kɔːrs,課程,A course is a class in school.,「課程」是學校中的課堂。,I took a P.E. course in school this year.,我今年在學校修了體育課。,23_0446.jpg,23_0446.mp3,23_0446_meaning.mp3,23_0446_example.mp3
lower,luər,降低,To lower something is to make it go down.,「降低」是指使某物下降。,The chart shows how his production has lowered over the year.,圖表顯示他今年的產量下降了。,23_0447.jpg,23_0447.mp3,23_0447_meaning.mp3,23_0447_example.mp3
match,mætʃ,匹配,To match is to be the same or similar.,「匹配」是指相同或相似。,The two shoes matched. They looked the same.,兩隻鞋很配，看起來一樣。,23_0448.jpg,23_0448.mp3,23_0448_meaning.mp3,23_0448_example.mp3
member,ˈmembər,成員,A member is a person who is part of a group.,「成員」是群體中的一份子。,Julie is the newest member of our team.,茱莉是我們團隊的新成員。,23_0449.jpg,23_0449.mp3,23_0449_meaning.mp3,23_0449_example.mp3
mental,ˈmentl,心理的,"If something is mental, it has to do with your mind.",「心理的」事物與心智有關。,I made a mental picture of the room.,我在腦中描繪房間的樣子。,23_0450.jpg,23_0450.mp3,23_0450_meaning.mp3,23_0450_example.mp3
passenger,ˈpæsɪndʒər,乘客,"A passenger is a person who rides in a car, train, or airplane.",「乘客」是搭乘汽車、火車或飛機的人。,One passenger was standing near the subway train.,一名乘客站在地鐵列車旁。,23_0451.jpg,23_0451.mp3,23_0451_meaning.mp3,23_0451_example.mp3
personality,ˌpɜːrsəˈnæləti,個性,Your personality is what you are like and how you behave.,「個性」是你是怎樣的人以及你的行為方式。,John has a bad personality.,約翰個性不好。,23_0452.jpg,23_0452.mp3,23_0452_meaning.mp3,23_0452_example.mp3
poem,ˈpəʊəm,詩,A poem is a short kind of writing.,「詩」是一種簡短的文學形式。,William Shakespeare wrote many poems.,威廉·莎士比亞寫了很多詩。,23_0453.jpg,23_0453.mp3,23_0453_meaning.mp3,23_0453_example.mp3
pole,pəʊl,桿子,A pole is a long thin stick made of wood or metal that supports things.,「桿子」是用木頭或金屬製成的長細棍，用來支撐物品。,The flag was hanging from the flag pole.,旗子掛在旗桿上。,23_0454.jpg,23_0454.mp3,23_0454_meaning.mp3,23_0454_example.mp3
remove,rɪˈmuːv,移除,To remove something is to take it away.,「移除」是指拿走某物。,I removed the nail from the board.,我從木板上拔出釘子。,23_0455.jpg,23_0455.mp3,23_0455_meaning.mp3,23_0455_example.mp3
safety,ˈseɪfti,安全,Safety means the condition of being safe and free from danger.,「安全」是指處於無危險的狀態。,"For his own safety, he was placed in a car seat.",為了安全起見，他被安置在汽車安全座椅上。,23_0456.jpg,23_0456.mp3,23_0456_meaning.mp3,23_0456_example.mp3
shoot,ʃuːt,射擊,To shoot is to fire something like a bullet at someone or something.,「射擊」是指發射子彈等物體攻擊人或物。,The hunter raised his gun to shoot at the target.,獵人舉槍瞄準目標射擊。,23_0457.jpg,23_0457.mp3,23_0457_meaning.mp3,23_0457_example.mp3
sound,saʊnd,聲音,To sound means to make a noise.,「發出聲音」是指製造噪音。,The alarm clock sounded and woke us all up.,鬧鐘響了，把我們全都吵醒。,23_0458.jpg,23_0458.mp3,23_0458_meaning.mp3,23_0458_example.mp3
swim,swɪm,游泳,To swim is to move through water.,「游泳」是指在水中移動。,I love to swim in the ocean.,我喜歡在海裡游泳。,23_0459.jpg,23_0459.mp3,23_0459_meaning.mp3,23_0459_example.mp3
web,web,蜘蛛網,A web is a home made by a spider.,「蜘蛛網」是蜘蛛編織的家。,Mom cleaned the spider webs out of the garage.,媽媽清理了車庫裡的蜘蛛網。,23_0460.jpg,23_0460.mp3,23_0460_meaning.mp3,23_0460_example.mp3
block,blɑːk,塊,"A block is a solid piece of wood, stone, or ice.",「塊」是木頭、石頭或冰的固體。,I saw a block of ice on the floor.,我看到地板上有一塊冰。,24_0461.jpg,24_0461.mp3,24_0461_meaning.mp3,24_0461_example.mp3
bury,ˈberi,埋葬,"When you bury something, you put it under the ground or under a lot of other things.",「埋葬」是指將某物放入地下或大量其他東西之下。,My father was buried in his hometown when he died.,我父親過世後葬在故鄉。,24_0462.jpg,24_0462.mp3,24_0462_meaning.mp3,24_0462_example.mp3
cheer,tʃɪr,歡呼,To cheer is to give a loud shout of approval or encouragement.,「歡呼」是指大聲喊叫以表達贊同或鼓勵。,The crowd all cheered when the home team won.,主隊獲勝時，觀眾齊聲歡呼。,24_0463.jpg,24_0463.mp3,24_0463_meaning.mp3,24_0463_example.mp3
complex,kəmˈpleks,複雜的,"If something is complex, it has many small parts. It is hard to understand.",「複雜的」事物有許多小部分，難以理解。,A jigsaw puzzle can be complex because it has so many pieces.,拼圖很複雜，因為有很多片。,24_0464.jpg,24_0464.mp3,24_0464_meaning.mp3,24_0464_example.mp3
critic,ˈkrɪtɪk,評論家,"A critic is someone who gives opinions about movies, books, plays, etc.",「評論家」是對電影、書籍、戲劇等發表意見的人。,The wine critic tasted the wine so he could give his opinion.,酒評家品嚐葡萄酒後發表意見。,24_0465.jpg,24_0465.mp3,24_0465_meaning.mp3,24_0465_example.mp3
direction,daɪˈrekʃn,方向,A direction is the way to go.,「方向」是前行的路徑。,"Go in this direction for 10 minutes, and you will get to the river.",朝這個方向走十分鐘，就會到達河邊。,24_0466.jpg,24_0466.mp3,24_0466_meaning.mp3,24_0466_example.mp3
event,ɪˈvent,事件,"An event is something that happens, especially something important.",「事件」是發生的事，尤其是重要的事。,Finishing high school was a major event in his life.,高中畢業是他人生的重要大事。,24_0467.jpg,24_0467.mp3,24_0467_meaning.mp3,24_0467_example.mp3
exercise,ˈeksərsaɪz,運動,To exercise is to run or play sports so that you can be healthy.,「運動」是指跑步或從事體育活動以保持健康。,You should exercise every day.,你應該每天運動。,24_0468.jpg,24_0468.mp3,24_0468_meaning.mp3,24_0468_example.mp3
friendship,ˈfrendʃɪp,友誼,Friendship is the relationship between people who are friends.,「友誼」是朋友之間的關係。,Michael and Lisa have a very strong friendship with each other.,麥可和麗莎有很深厚的友誼。,24_0469.jpg,24_0469.mp3,24_0469_meaning.mp3,24_0469_example.mp3
